見せる,みせる,to show; to display
船,ふね,ship; boat; watercraft; vessel; steamship / tank; tub; vat; trough / counter for boat-shaped containers (e.g. of sashimi)
安心,あんしん,relief; peace of mind
海岸,かいがん,coast; beach
間,あいだ,"space (between); gap; interval; distance / time (between); pause; break / span (temporal or spatial); stretch; period (while) / relationship (between, among) / members (within, among) / due to; because of"
教会,きょうかい,church; congregation
故障,こしょう,breakdown; failure; fault; accident; out of order / damage; hurt / objection; protest
公務員,こうむいん,government worker; public servant; civil servant
枝,えだ,branch; bow; bough; twig; limb
趣味,しゅみ,hobby; pastime / tastes; preference; liking
柔道,じゅうどう,judo
紹介,しょうかい,introduction; presentation; referral; listing
新聞社,しんぶんしゃ,newspaper company
神社,じんじゃ,Shinto shrine
人形,にんぎょう,doll; puppet; figure
星,ほし,star; any light-emitting (or reflecting) heavenly body (except for the sun and the moon) / offender; perpetrator / star point (in go); hoshi; intersection marked with a dot / circular symbol (said to be shaped like a shining star) / bullseye / one's star (out of the nine stars); the star that determines one's fate / small dot; spot / point; score
盛ん,さかん,popular / prosperous / enthusiastic / energetic; vigorous
先輩,せんぱい,senior (at work or school); superior; elder; older graduate; progenitor; old-timer
駐車場,ちゅうしゃじょう,parking lot; parking place
点,てん,"spot; mark / point; dot / mark (e.g. in exam); score; points / comma / aspect; matter; respect / counter for goods, items, articles of clothing, works of art, etc."
熱,ねつ,heat / fever; temperature / zeal; passion; enthusiasm / mania; craze; rage
漫画,まんが,cartoon; comic; comic strip
無理,むり,"unreasonable; unnatural; unjustifiable / impossible / forcible; forced; compulsory / excessive (work, etc.); immoderate / to work too hard; to try too hard / no way; not a chance; never; dream on / irrational"
約束,やくそく,promise; agreement; arrangement; one's word; contract; pact; appointment; engagement; date / convention; rule / destiny; fate
用意,ようい,preparation; arrangements; provision; getting ready; laying out (e.g. a meal)
裏,うら,"opposite side; bottom; other side; side hidden from view; undersurface; reverse side / rear; back; behind / lining; inside / in the shadows; behind the scenes; offstage; behind one's back / more (to something than meets the eye); hidden side (e.g. of one's personality); unknown circumstances; different side / proof / opposite (of a prediction, common sense, etc.); contrary / inverse (of a hypothesis, etc.) / bottom (of an inning); last half (of an inning)"
腕,うで,arm / skill; efforts; ability
終わり,おわり,the end
周り,まわり,circumference; girth / surroundings; neighbourhood; neighborhood; vicinity
一生懸命,いっしょうけんめい,very hard; with utmost effort; with all one's might; for dear life
運ぶ,はこぶ,"to carry; to transport; to move; to convey / to come; to go / to wield (a tool, etc.); to use / to go (well, etc.); to proceed; to progress"
雲,くも,cloud
おかしい,可笑しい,funny; amusing; comical; laughable; ridiculous / strange; odd; funny; peculiar; weird; unusual; eccentric / improper; unsuitable; unbecoming / suspicious
規則,きそく,rule; regulation
鏡,かがみ,mirror; looking-glass / barrel head
近所,きんじょ,neighbourhood; neighborhood
砂,すな,sand; grit / gold dust; silver dust
指,ゆび,finger; toe; digit
習慣,しゅうかん,habit / custom; cultural practice
水道,すいどう,water supply; water service; waterworks / channel; strait / water course; waterway
赤ちゃん,あかちゃん,baby; infant
草,くさ,grass; weed; herb; thatch / ninja / not genuine; substandard / laughter; LOL
送る,おくる,to send (a thing); to dispatch; to despatch; to transmit / to take or escort (a person somewhere); to see off (a person) / to bid farewell (to the departed); to bury / to spend (time); to live one's life / to pass (down the line) / to affix okurigana
打つ,うつ,"to hit; to strike; to knock; to beat; to punch; to slap; to tap; to bang; to clap; to pound / to strike (noon, etc.); to sound (cymbals, etc.); to beat (a drum, etc.) / to beat (rhythmically, e.g. pulse, waves, etc.) / to move; to impress; to touch / to drive in; to hammer in; to put in; to inject / to type; to send; to transmit / to insert; to write in; to mark / to make (noodles, etc.); to prepare / to till (soil) / to sprinkle; to throw; to cast / to do; to carry out; to play; to perform; to engage in (gambling, etc.) / to pay (a deposit, etc.) / to visit (on a pilgrimage) / to line (a coat) / to bind (a criminal)"
虫,むし,insect; bug; cricket; moth; worm
適当,てきとう,suitable; proper; appropriate; adequate; fit / noncommittal; vague; equivocal; unserious; irresponsible
湯,ゆ,hot water / hot bath; hot spring / molten iron
髪,かみ,hair (on the head)
表,おもて,"surface / face (i.e. the visible side of an object) / front (of a building, etc.); obverse side (i.e. ""head") of a coin / outside; exterior / appearance / public / first half (of an inning); top (of an inning) / cover (for tatami mats, etc.) / foreground"
訪ねる,たずねる,to visit; to call on; to pay a visit to
翻訳,ほんやく,translation / de-encryption; deciphering / rendering
毛,け,hair / fur; wool / down; plumage; feathers
予約,よやく,reservation; appointment; booking; advance order / contract; subscription; pledge / programming (e.g. a device); setting (e.g. a timer)
包む,つつむ,to wrap up; to tuck in; to pack; to do up; to cover with; to dress in / to conceal; to hide; to be engulfed in; to be enveloped by
売り場,うりば,place where things are sold; point of sale; POS; sales floor; counter (in shop) / favorable time to sell; good time to sell
下げる,さげる,"to hang; to suspend; to wear (e.g. decoration) / to lower; to reduce; to bring down / to demote; to move back; to pull back / to clear (plates); to remove (food, etc. from table or altar)"
帰り,かえり,return; coming back
久しぶり,ひさしぶり,a long time (since the last time); first in a long time
糸,いと,thread; yarn; string
集める,あつめる,to collect; to assemble; to gather
水泳,すいえい,swimming
店員,てんいん,shop assistant; employee; clerk; salesperson
都合,つごう,circumstances; condition; convenience / to arrange; to manage / to lend money; to raise money / in all; in total; all told
動物園,どうぶつえん,zoo; zoological gardens
道具,どうぐ,tool; implement; instrument; utensil; apparatus; device / means / furniture
日記,にっき,diary; journal
背中,せなか,back (of body)
僕,ぼく,I; me / you / manservant
両方,りょうほう,both; both sides; both parties
具合,ぐあい,condition; state / health; state (of health) / way; manner / circumstance; luck / face; dignity; decency; propriety
湖,みずうみ,lake
講義,こうぎ,lecture
合う,あう,to come together; to merge; to unite; to meet / to fit; to match; to suit; to agree with; to be correct / to be profitable; to be equitable / to do ... to each other; to do ... together
西洋,せいよう,the west; Western countries
大事,だいじ,important; serious; crucial / valuable; precious / serious matter; major incident; matter of grave concern; crisis / great undertaking; great enterprise; great thing / safe; OK
展覧会,てんらんかい,exhibition
内,うち,inside; within / while / among; amongst; between / we; our / my spouse / imperial palace grounds / emperor / I; me
美しい,うつくしい,beautiful; lovely
返事,へんじ,reply; answer; response
踊り,おどり,dance
昼間,ひるま,daytime; during the day; time from sunrise until sunset; diurnal period
二階建て,にかいだて,two-storied building
真ん中,まんなか,middle; centre; center; mid-way
ため,為,good; advantage; benefit; welfare / sake; purpose; objective; aim / consequence; result; effect / affecting; regarding; concerning
会議室,かいぎしつ,conference room; council room
隅,すみ,corner; nook; recess / downstage right (on a noh stage)
研究室,けんきゅうしつ,laboratory / seminar room / professor's office
細かい,こまかい,small / fine; minute / minor; trivial / sensitive; attentive
坂,さか,slope; hill
場合,ばあい,case; situation
数学,すうがく,mathematics; arithmetic
祖父,そふ,grandfather / old man / kyogen mask used for the role of an old man
着物,きもの,clothing; clothes / kimono (or other trad. Japanese clothing)
注射,ちゅうしゃ,injection
丁寧,ていねい,polite; courteous; civil / careful; close; thorough; conscientious
田舎,いなか,rural area; countryside; the sticks / hometown
盗む,ぬすむ,to steal
倍,ばい,twice; double / times; -fold
旅館,りょかん,"ryokan; Japanese-style lodging, usu. professionally-run"
受付,うけつけ,reception (desk); information desk / receipt; acceptance
屋上,おくじょう,rooftop
火事,かじ,fire; conflagration
考える,かんがえる,to think about; to take into consideration / to ponder; to reflect; to try to come at a conclusion; to think over (something) / to intend; to decide (to do); to plan / to come up with; to devise; to scheme / to predict; to anticipate; to expect / to suspect; to doubt / to consider (somebody to be something); to look on
